3	667 667	667	667 667	0	1
6	501 500	500	500 500	0	0.998004
9	445 443	443	443 443	0	0.995506
12	417 415	415	415	415	0	0.995204
15	401 399	399	399	399	0	0.995012
18	389 387	387	387	387	0	0.994859
21	381 378	379	379	378.666666666667	1.43421757658316	0.993876
24	376 374	373	373	373.333333333333	1.43421757658316	0.992908
27	371 354	353	359	355.333333333333	7.98538551144413	0.957772
30	367 342	341	343	342 2.48413771175033	0.93188
33	364 339	331	325	331.666666666667	17.4480098702703	0.911172
36	362 319	307	322	316 19.7172318231853	0.872928
39	359 303	292	306	300.333333333333	18.3108642419671	0.836583
42	358 278	279	276	277.666666666667	3.79458303359676	0.775605
45	356 258	266	269	264.333333333333	14.1254049686041	0.742509
48	355 250	259	262	257 15.5134350376268	0.723944
51	353 244	267	268	259.666666666667	33.7269917352552	0.7356
54	352 258	270	238	255.333333333333	40.1580921443283	0.725379
57	351 225	242	229	232 22.0794989414224	0.660969
60	351 210	220	244	224.666666666667	43.4073004481243	0.640076
63	350 202	212	224	212.666666666667	27.3631273932776	0.607619
66	349 197	208	233	212.666666666667	45.8276841895446	0.60936
69	348 191	188	197	192	11.3837491007903	0.551724
72	348 200	187	207	198	25.2112442693104	0.568966
75	347 182	181	192	185	15.1104197931357	0.533141
78	347 170	178	173	173.666666666667	10.0395230360821	0.50048
81	346 164	172	167	167.666666666667	10.0395230360821	0.484586
84	346 155	173	152	160 28.2143807667523	0.462428
87	345 190	157	180	175.666666666667	42.035055239001	0.509179
90	345 167	157	159	161 13.1448212154569	0.466667
93	345 144	157	163	154.666666666667	24.1272741130314	0.448309
96	344 136	152	142	143.333333333333	20.0790460721642	0.416667
99	344 149	149	139	145.666666666667	14.3421757658315	0.42345
